                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92668,                 2.5757,                 1.3969,                0.00333,                      1,                0.62865,                0.39692,                0.32078,                 2.8686,                0.99563,                  8e-05,                  8e-05,                  8e-05
                      2,                0.45433,                 2.1199,                 1.0728,                0.00333,                      1,                  0.891,                0.72845,                0.31449,                 2.7528,                0.94818,             0.00017109,             0.00017109,             0.00017109
                      3,                0.30498,                 1.4123,                0.98602,                      1,                 0.1883,                0.89129,                0.73858,                0.37944,                 2.5124,                0.97865,             0.00025228,             0.00025228,             0.00025228
                      4,                0.35808,                 1.0125,                0.96274,                0.89605,                0.96051,                  0.907,                0.85192,                0.36029,                 2.4363,                0.95171,             0.00032357,             0.00032357,             0.00032357
